x, y, z
1.422089,0.565656,10.932565
-0.961294,-0.454188,3.225033
-0.953023,-1.210474,4.256725
-0.934926,-1.382938,4.195824
2.647709,-1.207784,7.269565
2.674868,-0.523064,13.203098
2.215391,-1.841818,9.004871
-1.980812,-1.812535,23.361725
-1.064424,-0.930619,3.535723
1.773993,-1.518770,4.366801
2.582595,-1.685882,7.662730
-0.781731,0.104284,3.187860
1.047401,0.647826,6.318077
-1.315027,-0.225237,3.505241
-1.890361,0.240498,4.598697
1.987826,0.481210,3.489944
1.607805,-1.476028,3.840312
-0.923335,-0.648633,4.117124
-0.716516,-0.014650,4.043451
-0.072284,2.122524,5.654980
-0.757555,0.047684,3.118025
1.115375,-1.821441,6.782159
1.661653,2.337831,5.709721
1.360882,0.252972,2.733524
1.580155,0.309479,3.841200
1.048594,-0.520930,6.854554
0.954325,0.945344,8.127946
1.315359,1.502509,6.769435
1.182885,0.077220,6.692551
1.340981,-1.519250,7.243120
1.178264,-1.778834,7.480365
1.624359,-0.274423,5.545032
1.523550,-0.285390,5.889122
1.213055,-0.573682,6.401495
3.133533,0.815678,12.142311
2.713864,0.712426,13.055918
1.277277,0.079291,11.755768
1.319319,-0.767982,11.561217
1.325204,-0.254809,11.563880
3.168916,0.541142,11.878098
3.083946,0.517539,12.473224
2.817503,0.271975,12.706202
1.339295,-0.145591,11.582790
3.318516,0.884061,11.556190
3.237135,0.476635,11.848317
1.176070,-0.381515,11.834094
1.136774,-0.884208,11.864010
1.700765,-1.200407,12.580175
1.058285,-0.362146,12.028531
1.198725,1.116106,12.143280
3.254502,0.845233,11.874686
1.278962,0.060537,11.750580
0.859120,-1.057793,12.459164
1.354342,-0.245914,11.533370
3.158999,0.501360,12.068426
1.173142,0.063156,11.911481
0.383851,-1.375871,13.105732
0.990421,-1.411956,13.109484
0.792391,-1.181376,12.899463
0.939148,-0.592477,12.774230
0.896520,1.538145,12.480058
1.072162,-0.917156,11.946280
1.149893,-1.234665,12.701991
0.668056,-1.271687,13.082787
3.272877,0.689423,12.196789
1.190899,1.267173,12.122950
3.195673,0.726995,12.197208
2.652586,-1.285236,12.960681
3.308112,0.925814,11.734876
1.171864,-1.445616,13.178922
1.108585,0.026288,11.883069
3.337334,0.640214,11.415229
0.604334,-1.289551,12.593682
4.231266,0.002106,12.415557
1.079992,0.002911,11.838436
3.238608,0.864607,12.099014
1.090675,-0.976598,11.926871
0.572667,1.297475,13.400229
0.389093,-2.635724,13.847907
-0.097331,-2.026224,13.457026
0.926572,-1.520340,13.160640
0.814385,1.338991,13.014040
3.302938,0.869518,11.444294
3.140177,1.020155,13.689710
3.316443,0.317842,13.820588
3.401756,0.634649,13.915254
1.603490,-0.117524,13.012063
1.806190,0.253910,13.486055
1.385972,0.185691,14.258961
1.282691,-0.289993,14.155489
1.006046,-0.528514,14.551536
1.884534,1.333024,18.620541
1.328582,-0.864839,19.029461
1.057155,-1.403431,19.212179
2.050850,1.172790,18.387844
1.073654,-1.474958,19.393232
0.815548,-1.665931,19.636589
1.921302,-1.413285,19.068783
1.267748,-0.962633,18.336905
1.135457,0.059037,18.979950
1.137221,-1.173015,18.587704
1.089119,-1.618437,19.218550
1.139199,-1.333808,19.039436
1.917410,-1.465953,19.117268
1.647442,0.029324,18.303896
1.906611,0.098849,18.102314
0.936061,-1.443458,19.016275
1.906313,-1.449748,19.115587
1.359097,-1.026812,18.216558
1.963139,0.089377,17.978165
1.168061,-1.734389,19.422297
1.832151,-0.176938,18.046888
2.753806,1.002848,18.985962
0.900184,-1.591473,19.555925
1.641584,-0.390733,18.081318
1.400629,0.112704,18.744659
1.138433,0.132790,18.995888
1.916122,1.416754,18.566677
0.882157,-0.923694,18.850967
1.718533,-0.354681,18.016087
1.711281,-0.273259,18.089979
1.326581,1.194854,19.199198
1.209652,0.949432,19.209318
0.631051,-1.664407,19.235748
1.349862,-0.354913,19.278690
1.802180,-0.234700,18.051954
1.083126,-1.032626,18.894764
0.686900,-1.477936,19.222822
1.134985,-0.271344,18.856686
0.997260,-1.448313,19.260836
1.471233,-0.360417,19.173523
1.076338,-1.545428,19.418215
0.748561,-1.229326,18.867029
0.822525,-1.167447,18.746853
0.947031,-1.320812,18.832270
1.877340,-0.269971,17.915358
2.000158,-1.462916,19.039566
1.133163,-0.826926,19.320082
2.643999,0.387097,21.702009
1.581628,1.084385,19.165792
1.343934,-0.392276,19.309231
1.649733,-0.395137,18.045040
1.853597,1.437729,18.612326
1.549248,1.093449,19.218332
0.983921,-1.500888,19.176884
1.056076,-2.163273,20.149349
1.012008,-1.569643,19.231739
0.884951,-1.647267,19.220306
1.545931,1.212050,19.088341
0.678894,0.509344,21.086042
0.951727,1.002342,20.835667
0.716613,0.474948,21.043255
1.353709,-0.424792,19.571432
0.919836,1.010143,20.872610
0.800508,1.048753,20.886930
0.671005,0.457769,21.020559
0.827797,0.468591,20.942242
0.250137,1.557060,23.630051
-0.832038,-1.721112,22.806566
-1.084063,-1.161737,23.320093
0.764932,-0.783242,24.112642
0.439257,-0.141579,24.846605
0.794603,0.398634,20.960516
1.744549,0.120256,22.771889
-0.969444,-1.980028,24.091084
-1.264885,-2.276522,24.288322
0.904518,-0.066350,24.071173
-0.193034,-2.473640,24.359398
-0.911337,-1.841170,22.841877
-0.001993,-2.020046,24.002127
-1.072324,-1.053176,23.322163
0.877623,-0.009083,24.233376
-0.487228,-2.431993,23.585041
-0.982682,-2.362634,23.241827
0.486278,-0.897693,24.435703
-0.204843,0.550067,22.579933
-0.201681,-2.222719,23.910530
-0.891904,-0.166241,23.550714
0.779097,-0.775739,24.077301
1.061090,-2.408311,23.647303
0.761489,-0.443853,24.041077
-1.251668,-1.204901,23.494024
-0.136381,-2.476235,23.752048
-0.064094,-1.937294,23.977247
-0.002228,-1.939972,24.089090
1.501412,0.063896,23.059179
-0.020323,-1.983390,24.061897
-1.023071,-1.916353,22.942898
-0.088054,-2.434023,23.688414
-0.011123,-2.090243,23.996073
2.526025,-1.746336,24.149502
-0.912734,-2.293500,23.169014
-1.104915,-2.105859,24.186050
0.679099,-0.461698,24.228331
0.692732,0.426073,21.020292
0.783340,0.480500,20.978464
1.734564,0.107301,22.676289
0.818565,-0.329323,24.047539
0.022413,-2.182266,23.893225
0.680734,-1.477251,25.147703
0.799842,0.395274,20.963560
-0.068791,-2.069815,23.950886
-1.216084,-2.223495,24.263390
0.705190,0.423968,21.006706
0.766316,0.392617,20.998234
0.704230,0.455445,21.055580
0.868466,-0.327469,23.959150
-0.069125,-2.078900,23.973949
-0.937974,1.878111,25.110620
0.773804,0.473351,20.973375
1.665987,0.094272,22.756594
0.756707,-0.368828,24.178961
-0.771737,-0.518607,23.294035
-0.828149,-0.157851,23.498672
0.693264,-0.142703,24.440199
-1.326022,-1.226534,23.569237
1.751331,-1.974451,27.308443
0.614424,-0.126147,24.437927
1.256709,-1.092278,24.461981
0.259296,-1.466488,24.325817
0.919603,-0.108869,23.899145
0.287588,-1.439516,24.249071
0.578830,0.446690,21.100151
0.681674,0.502375,21.047010
0.542240,-1.218457,24.311525
-1.011771,-2.058370,24.118298
-1.221455,-0.691514,23.666960
-0.323765,-2.574923,24.550808
0.766016,0.461119,21.009035
-0.373003,-2.045379,23.856354
0.149174,-1.712058,23.725729
-0.179278,-2.205720,23.903950
-0.020987,-2.091232,23.855608
0.612651,0.534749,21.079985
-0.345561,0.353578,22.909950
-0.983773,-2.327251,23.242397
0.614175,-0.486668,24.381832
-0.000104,-2.141420,23.957703
-1.157025,-2.433329,24.102175
-0.049538,-2.002981,23.963274
-0.099587,-2.445648,23.700996
0.596929,0.543534,21.091112
0.630524,0.429565,21.078871
-0.755581,-0.509156,23.282961
0.787520,-0.342703,23.937313
-0.205162,-2.237029,23.920055
-1.278010,-1.662524,23.413601
-1.169663,-1.075546,23.476183
0.100533,-1.911547,23.616438
-1.120355,-1.131854,23.352434
0.072202,-2.135934,23.818405
-0.058924,-2.118107,23.909504
1.023673,-1.043700,24.359509
1.073874,-0.047475,23.634041
0.545062,-0.097143,24.592607
-0.128211,-2.105909,24.007681
0.625410,0.429307,21.083910
0.251118,1.099170,23.191833
0.467036,0.992925,22.960213
0.953438,-0.108697,23.828442
0.845216,-0.409126,23.866493
-1.598045,-2.101054,23.626909
-1.008093,-2.337807,23.954599
0.246953,-1.290592,24.334789
-0.960218,-2.125400,24.045345
-1.017370,0.325834,23.747252
-0.975548,-2.304595,23.946558
-0.977849,-2.048466,24.194260
-0.070510,-2.050069,23.804934
-0.273618,-1.898960,23.867825
-0.093008,-2.159431,23.849770
-1.989517,-2.224043,23.899942
-1.748033,-1.908960,23.863642
-1.659881,0.230052,24.581877
-1.853565,0.239242,24.776779
-1.535180,-2.100384,24.110094
0.382738,-0.970736,24.728224
-1.251891,-0.143157,25.977776
-1.659492,-1.897897,26.021389
-2.426227,-0.853424,28.443535
-0.341390,-0.383899,26.254238
-3.646313,-0.590291,27.908030
-0.693080,-0.350162,23.258593
-0.813635,-0.452573,23.315649
-1.157765,-1.156216,23.352367
-1.165722,-1.159191,23.354250
-0.922537,-0.525702,23.359358
-1.166219,-1.084189,23.397951
-1.214133,-1.099515,23.403496
0.037334,-1.966440,23.925270
-1.824769,-1.684024,23.880014
-1.705896,0.239949,24.488115
-2.026869,-1.866966,24.359972
-1.828222,-2.719073,24.355438
-1.680364,0.154390,24.613256
-1.901937,0.183661,24.831871
-1.843599,-2.110573,24.352083
-2.064631,-1.336106,24.904245
-1.537717,-1.478488,25.490383
-1.303067,-0.288699,25.644363
-1.690631,-0.117616,26.181599
-1.435899,-0.122610,26.122450
