x, y, z
4.279832,-0.308864,7.623003
1.707628,0.341201,2.930895
2.727154,0.785177,10.315461
-6.140657,-0.484744,49.264069
4.532204,-0.632972,8.993361
4.268747,-0.572612,8.027552
-1.449494,0.815604,22.441090
3.073931,0.898553,5.770136
4.207993,-0.924526,10.633306
1.737087,0.336653,2.917123
1.372470,-1.156979,6.568753
3.904078,-0.186525,12.475876
4.047297,-0.362378,6.491731
1.585279,-0.727047,3.595284
4.281964,-0.702792,7.892327
3.542163,-1.709240,14.690409
4.171010,-0.522556,10.210548
4.176241,-0.930864,6.146592
3.689449,-1.352973,8.317979
2.611160,-0.343916,16.529781
1.803504,-0.668775,23.166039
3.433531,-1.348919,9.639530
4.156299,-0.569636,11.062957
2.475730,-1.376622,18.136354
2.259786,-1.817523,16.476976
-0.648622,-1.897568,20.578125
1.680365,0.378460,2.743203
1.638314,0.203748,3.792043
1.602798,0.581038,2.815281
1.494833,0.666708,3.673985
0.452437,1.883778,4.056677
1.091650,0.891277,2.816254
1.009302,-0.548270,3.692271
1.477545,0.877227,3.582010
1.346861,-0.882114,4.056924
3.273583,0.359328,3.885753
3.484502,1.295296,4.789907
2.202161,2.044761,4.865820
4.476165,-1.815006,6.248891
2.051533,2.215541,4.755100
1.488855,0.537908,2.891734
1.269071,-0.377870,3.791663
1.030681,-0.765856,6.688791
0.907146,-1.202137,7.356473
1.041990,-0.370873,6.898036
0.991105,-0.632128,7.039151
1.170740,-0.145831,6.313708
1.041386,-0.860842,6.921337
1.171219,-0.918453,6.287902
1.055691,-0.364407,6.855331
0.973172,-0.070149,7.049469
1.098848,-0.463423,6.716482
1.141349,-0.350788,6.372522
1.075578,1.226424,6.911875
1.016891,-0.021031,6.945297
1.041155,-0.391145,6.564498
0.760338,1.154905,8.424484
3.242169,0.957110,5.474045
1.156777,-0.648900,6.131187
0.622573,0.131997,8.755662
3.752046,1.208634,10.004626
0.797776,0.095178,8.437628
0.870946,1.087260,5.991258
3.157338,0.714941,5.174825
0.803730,1.134274,8.723760
0.734787,-0.524151,8.870073
0.830074,-0.374339,8.624331
1.094781,-1.594188,7.947745
0.985725,0.961315,5.847760
1.052081,-0.288868,7.586033
0.619857,0.195589,8.831817
0.510423,1.363107,9.136152
1.034352,1.253922,7.009364
1.154044,-0.148495,6.350304
1.024596,-0.595974,6.743065
1.138252,0.992564,7.483305
0.856366,1.113091,8.500484
2.822594,1.094361,7.985953
3.821020,-1.978626,10.442491
3.045861,0.555622,5.066772
3.021731,0.789378,5.118510
0.687382,0.097914,8.653904
0.668571,0.223753,8.652943
0.601756,1.236317,8.754104
3.351782,1.258313,9.457583
1.055591,-0.609452,6.877687
0.632828,-0.632119,9.000175
2.804878,0.754295,7.832283
0.888108,-1.010690,8.313694
2.844594,0.564581,8.250648
1.040003,-1.819753,9.007094
2.861622,0.808046,7.632816
1.705233,1.649929,8.754257
1.205911,-0.271199,7.109322
0.670138,1.242330,8.842356
0.691088,-0.545120,8.968229
3.959934,-2.095869,10.426993
2.855110,0.803478,7.676550
3.294307,0.934825,8.857519
0.584790,0.163102,8.751972
0.584301,-0.550093,9.101563
0.712246,0.075481,8.617445
0.546478,0.229586,8.880397
3.096482,0.840482,8.926791
0.671303,-0.607622,8.921895
2.840164,0.601960,7.984412
2.860605,0.705850,7.796264
0.535997,0.062972,8.885355
2.810400,0.798993,8.160004
0.540895,0.222219,8.867520
4.657566,-0.957653,11.458211
0.707076,0.069313,8.608146
2.792658,0.913397,7.483052
0.675260,0.201520,8.693328
0.512083,0.204242,8.947101
3.693863,-0.095926,11.687638
4.310791,-0.846411,10.382316
0.588677,1.318488,9.048933
3.047837,-1.314326,10.903312
4.270892,0.439340,12.136192
2.226665,0.469671,9.590120
5.135816,-0.073695,14.921155
4.071156,0.574694,11.406529
1.360429,1.277327,8.536692
1.545822,1.483920,9.428693
0.549454,-2.382389,11.741737
0.371008,0.184038,9.051354
3.005288,-0.690822,8.829599
0.682766,0.070741,8.542980
0.320780,-0.438397,11.941904
2.736916,-1.363531,13.330076
0.140831,1.156034,13.338822
2.020673,0.539952,18.489527
0.697282,0.927515,12.237998
0.125977,-0.666529,14.416237
0.275314,0.955924,13.655646
0.545824,1.275946,13.072762
0.163824,-0.189873,14.423166
0.186681,-1.997725,14.996468
2.215331,0.290788,14.105533
0.103313,-0.406340,13.896385
0.161383,1.579465,13.999911
0.121547,-0.240737,13.720908
-0.081693,-0.914719,13.985011
-0.153292,-0.800802,14.083407
0.196418,-0.391576,13.543895
0.068256,-0.371280,13.792388
0.043926,-0.622251,13.920412
2.601459,1.093104,15.392010
2.160149,0.157926,14.000880
0.158425,-0.367542,13.935608
1.044336,0.552424,12.384973
0.841126,0.086887,14.353239
0.912606,2.904814,18.359676
0.680204,-0.340194,15.049309
-0.195627,-1.571404,18.651047
0.644837,-0.388124,14.693676
0.245888,0.033083,17.772800
0.448617,-0.675748,15.286856
2.190639,0.409142,17.367241
0.087799,-0.314762,17.905924
0.165567,1.190296,18.308666
1.915216,-1.136215,17.230333
0.053012,-1.057326,18.476019
0.033920,-0.277412,19.531733
-0.072311,-0.658039,19.178955
0.104959,1.115145,19.410780
2.084386,0.608739,17.216228
0.220136,-0.015208,17.689606
0.198964,-1.362224,18.776161
0.077040,-0.332690,17.932169
-0.134908,1.188982,18.875170
-0.254245,-0.006368,18.883650
0.036709,1.121085,18.761440
-0.039498,-0.548150,18.026196
0.776289,-1.287207,18.718941
0.298428,1.130767,19.205275
-0.027213,1.050482,19.075544
-0.421357,0.583880,21.056810
-0.595203,-1.779874,19.709831
0.275044,0.035519,19.130726
-0.106153,0.001802,19.193354
-0.641660,0.568201,21.521347
1.677557,-1.461578,20.234108
-0.024229,0.963066,18.718369
-0.181504,0.050279,18.855677
-0.118782,-1.050750,19.229080
-0.075979,1.204770,18.997101
1.749564,0.965001,24.166880
0.069246,1.126792,19.734764
-0.091384,-0.310969,19.087652
1.278975,0.643788,21.856997
0.113653,1.105478,19.555260
-0.823545,-2.253574,22.769943
-0.458035,1.087915,20.979876
0.694150,1.004268,19.644777
2.638819,-1.283207,23.103533
0.038449,0.013671,19.440847
0.037279,1.206411,19.771320
0.147796,1.045595,20.121616
0.155029,1.226547,21.817305
0.193880,0.037207,19.004965
0.376000,0.958607,20.053165
-0.651493,0.852268,22.196688
-0.078668,1.161071,19.185766
0.093212,-0.011082,19.376041
-0.261350,1.196488,19.417706
0.127797,-0.189216,18.947390
1.991826,0.746449,22.582733
0.039279,1.188975,19.786287
1.976454,-2.371573,23.520063
-0.011589,-0.362842,19.241894
2.390819,0.356803,21.410482
-0.580909,-2.257048,21.624590
1.720255,-0.803446,20.376642
-0.719842,0.917122,22.248659
0.045445,0.260892,19.251541
1.080329,0.545635,22.564554
0.067544,0.547033,18.959682
0.017198,0.017288,19.489607
-0.004773,-0.256177,19.324654
1.667704,-0.800703,19.748749
1.852350,0.213053,21.780685
0.099977,-0.137590,19.217709
2.051648,-0.439400,22.695732
2.796197,-1.471229,23.414837
-0.032212,-0.260264,19.333576
1.803258,0.365774,20.386984
1.090573,0.550890,22.316036
-0.312810,2.172642,24.089977
-0.033722,-0.197883,19.366056
-0.728725,0.888170,22.341618
1.525446,0.110357,21.009909
1.550544,-2.553703,23.554707
-0.038662,-0.156060,19.498808
1.677693,0.287336,20.883936
1.514649,-0.006400,20.471270
0.012278,-0.034927,19.488012
1.814113,-0.028059,20.464886
0.061204,0.380442,19.425444
-0.029042,-0.213706,19.306446
0.129058,1.067026,20.166737
2.664378,0.520707,24.142866
0.109220,0.515356,19.397484
0.168123,0.010319,19.258411
2.000354,-0.443663,22.704449
-0.352355,2.066220,24.227564
-1.099648,-1.413364,23.495745
0.137486,-0.175681,19.255812
1.600421,-0.009457,20.888462
1.131409,-2.056491,23.454781
-0.446207,0.521642,21.114126
-1.369942,1.036274,24.075527
-0.281835,-0.330082,19.528336
-0.585041,0.983458,21.648731
-0.019313,0.575496,19.541225
-0.133568,-0.137283,19.563406
1.667404,0.598669,20.679384
1.572006,0.563086,20.575050
1.390898,0.037842,20.094442
-0.231312,2.192892,24.167040
1.342239,-1.964079,22.809362
-0.108003,0.079704,19.467228
-0.042938,0.399739,19.495459
-0.071583,0.574252,19.575897
-0.107910,-0.094170,19.538836
-0.121444,-0.096222,19.556482
0.214320,1.046720,20.722010
0.224948,1.056968,21.713100
-0.716246,0.834389,22.446020
-1.115531,-2.440660,23.843081
-0.112767,0.141939,19.388010
-0.663426,0.881123,22.177141
1.990733,0.152130,22.348316
-1.169597,-1.567168,23.631704
-0.131213,-0.113056,19.575787
-0.536413,1.316685,20.698870
-0.672162,0.900173,22.137230
2.330606,-0.622591,23.625937
2.765967,-0.627345,24.906528
-0.034734,-1.938859,23.968523
-6.145836,-8.784213,37.410271
-0.471201,1.118441,20.985701
-0.209109,1.887382,23.937090
